#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-12-21T22:48:12 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5678817e2ad9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/144/130&tab:{J/AJ/144/130/table2}&key:source=J/AJ/144/130/table2&HTTPPRM:&&-ref=VIZ5678817e2ad9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/144/130/table2
#-order=I
#-out=HIP
#-out=SpT
#-out=Vmag
#-out=Q
#-out=Teff
#-out=FWHM1
#-out=FWHM2
#-out=FWHM3
#-out=vsini1
#-out=vsini2
#-out=vsini3
#-out=<vsini>
#-out=e_<vsini>
#-out=N
#-out=M
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51440130
#Name: J/AJ/144/130
#Title: Rotational velocities of nearby HIP B stars (Braganca+, 2012)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_AJ_144_130_table2:
#Name: J/AJ/144/130/table2
#Title: vsini results for the entire sample
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	HIP	(I6)	[14898/101909] HIPPARCOS number	[ucd=meta.id;meta.main]
#Column	SpT	(a8)	Spectral type	[ucd=src.spType]
#Column	Vmag	(F5.2)	[2.81/10.68]? Apparent V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	Q	(F5.2)	Value of the classical reddening free parameter Q (1)	[ucd=phot.color.reddFree]
#Column	Teff	(I5)	[14610/35300] Effective temperature (2)	[ucd=phys.temperature.effective]
#Column	FWHM1	(F4.1)	[0.9/8]? HeI 4026{AA} FWHM; in {AA}	[ucd=spect.line.width;spect.line]
#Column	FWHM2	(F4.1)	[0.7/8.9]? HeI 4388{AA} FWHM; in {AA}	[ucd=spect.line.width;spect.line]
#Column	FWHM3	(F4.1)	[0.7/8.8]? HeI 4471{AA} FWHM; in {AA}	[ucd=spect.line.width]
#Column	vsini1	(I3)	? HeI 4026{AA} projected rotational velocity [NULL integer written as an empty string]	[ucd=phys.veloc.rotat]
#Column	vsini2	(I3)	? HeI 4388{AA} projected rotational velocity [NULL integer written as an empty string]	[ucd=phys.veloc.rotat]
#Column	vsini3	(I3)	? HeI 4471{AA} projected rotational velocity [NULL integer written as an empty string]	[ucd=phys.veloc.rotat]
#Column	<vsini>	(I3)	? Mean projected rotational velocity [NULL integer written as an empty string]	[ucd=phys.veloc.rotat]
#Column	e_<vsini>	(I2)	? Standard deviation in <vsini> between the available measures [NULL integer written as an empty string]	[ucd=stat.error;phys.veloc.rotat]
#Column	N	(I1)	Number of HeI lines used	[ucd=meta.number]
#Column	M	(A3)	[ACR.? ] Membership classification (A=association, C=cluster, R=runaway star)	[ucd=meta.code.member]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=meta.ref]
#Column	_RA	(F9.5)	Positions from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000|_DEJ2000|HIP|SpT|Vmag|Q|Teff|FWHM1|FWHM2|FWHM3|vsini1|vsini2|vsini3|<vsini>|e_<vsini>|N|M|Simbad|_RA|_DE
114.18947|-12.85279| 37044|B4V     | 8.45|-0.54|17550| 6.0| 6.9| 6.6|249|285|252|262|20|3|   |Simbad|114.18947|-12.85279
114.74410|-52.96201| 37245|B4/B5V  | 8.50|-0.55|17820| 2.7| 2.2| 2.2| 68| 65| 68| 67| 2|3|R  |Simbad|114.74410|-52.96201
114.86391|-38.30802| 37297|B2.5V   | 4.83|-0.51|16780| 2.9| 2.4| 2.7| 84| 77| 85| 82| 5|3|C  |Simbad|114.86391|-38.30802
114.87437|-26.91899| 37304|B6V     | 6.77|-0.44|15200| 3.7| 3.8| 3.8|129|143|127|133| 9|3|   |Simbad|114.87437|-26.91899
115.29164|-17.14498| 37439|B3V     | 8.01|-0.49|16300| 2.6| 2.2| 2.3| 72| 66| 73| 70| 4|3|   |Simbad|115.29164|-17.14498
115.71367|-55.31285| 37597|B3V     | 7.64|-0.54|17550| 1.1| 1.4| 1.0|   | 22|   | 22|  |1|   |Simbad|115.71367|-55.31285
116.26989|-37.88787| 37803|B3IV    | 6.53|-0.59|18980| 1.8| 2.0| 1.1|  9|   |  8|  9| 1|2|C  |Simbad|116.26989|-37.88787
116.80231|-22.51951| 37995|B1/B2V  | 5.87|-0.68|22070| 2.4| 1.8| 1.9| 48| 51| 50| 50| 2|3|R  |Simbad|116.80231|-22.51951
116.89671|-47.01295| 38028|B3V     | 6.98|-0.63|20260| 3.0| 2.6| 3.3| 77| 87| 96| 86| 9|3|   |Simbad|116.89671|-47.01295
118.16180|-19.78731| 38457|B3V     | 8.26|-0.47|15840| 3.5| 2.9| 2.9|118|104| 92|105|13|3|   |Simbad|118.16180|-19.78731
118.54587|-35.87729| 38593|B2V     | 5.46|-0.60|19290| 2.7| 2.0| 2.3| 61| 58| 66| 62| 4|3|   |Simbad|118.54587|-35.87729
118.89768|-27.92572| 38716|B0V     |10.68|-0.85|30480| 1.7| 1.2| 1.3| 19| 26| 22| 22| 3|3|C  |Simbad|118.89768|-27.92572
118.93038|-38.33676| 38727|B3V     | 7.99|-0.60|19290| 3.7| 3.3| 3.7|121|122|111|118| 6|3|   |Simbad|118.93038|-38.33676
119.10054|-40.73616| 38795|B2V     | 6.77|-0.64|20600| 2.4| 1.9| 1.9| 45| 53| 47| 48| 4|3|A  |Simbad|119.10054|-40.73616
119.28604|-33.24990| 38858|B3V     | 7.28|-0.53|17290| 3.8| 3.5| 3.5|129|131|109|123|12|3|   |Simbad|119.28604|-33.24990
119.40863|-46.59329| 38896|B3Ve    | 7.24|-0.55|17820| 2.4| 2.1| 2.0| 54| 61| 60| 59| 4|3|   |Simbad|119.40863|-46.59329
119.52013|-37.58006| 38942|B4V     | 7.47|-0.48|16070| 2.9| 2.7| 2.9| 90| 94| 93| 92| 3|3|   |Simbad|119.52013|-37.58006
119.75751|-45.21584| 39014|B4V     | 5.96|-0.52|17030| 4.1| 3.9| 4.2|144|152|140|145| 6|3|   |Simbad|119.75751|-45.21584
119.87757|-37.30239| 39063|B2/B3V  | 7.41|-0.51|16780| 1.8| 1.6| 1.4| 27| 31| 35| 31| 4|3|   |Simbad|119.87757|-37.30239
120.08320|-63.56746| 39138|B3V     | 4.80|-0.50|16540| 1.7| 1.3| 0.9| 23| 15|   | 19| 6|2|   |Simbad|120.08319|-63.56746
120.38153|-55.45466| 39238|B4V     | 6.27|-0.52|17030| 3.0| 2.7| 3.1| 91| 95| 97| 95| 3|3|   |Simbad|120.38153|-55.45466
120.95972|-22.69828| 39446|B4V     | 8.55|-0.54|17550| 2.9| 2.9| 2.9| 82|105| 90| 92|11|3|   |Simbad|120.95972|-22.69828
121.04222|-04.82695| 39483|B3V     | 7.61|-0.44|15200| 3.3| 2.4| 3.2|114| 78|103| 99|18|3|   |Simbad|121.04222|-04.82695
121.19938|+06.18606| 39540|B1V     | 7.81|-0.78|26530| 1.3| 1.0| 0.9|   |  4|  4|  4| 1|2|   |Simbad|121.19938|+06.18606
121.42944|-45.17120| 39613|B3V     | 7.05|-0.56|18100| 4.5| 4.3| 5.0|168|170|177|172| 4|3|   |Simbad|121.42944|-45.17120
121.92440|-54.82579| 39774|B3V     | 8.14|-0.62|19930| 2.0| 1.4| 1.2| 19| 25|   | 22| 4|2|   |Simbad|121.92440|-54.82579
121.94702|-19.16221| 39782|B3V     | 8.64|-0.60|19290| 2.3| 2.0| 2.3|   | 55| 67| 61| 8|2|   |Simbad|121.94702|-19.16221
122.19130|-50.49174| 39880|B4V     | 8.14|-0.52|17030| 2.5| 2.2| 2.2| 61| 64| 68| 64| 3|3|   |Simbad|122.19130|-50.49174
122.79496|-48.46199| 40077|B3V     | 5.81|-0.51|16780| 2.6| 2.2| 2.7| 68| 68| 85| 74|10|3|   |Simbad|122.79496|-48.46199
123.34288|-38.43835| 40265|B3V     | 7.53|-0.64|20600| 3.1| 2.6| 2.7| 83| 90| 78| 84| 6|3|   |Simbad|123.34288|-38.43835
123.34439|-36.31042| 40268|B2/B3V  | 7.34|-0.54|17550|    | 7.1|    |   |293|   |293|  |1|C  |Simbad|123.34439|-36.31042
123.44021|-46.57869| 40299|B2V     | 6.48|-0.58|18680| 3.9| 3.8| 4.1|132|148|133|137| 9|3|   |Simbad|123.44021|-46.57869
123.62354|-40.82587| 40366|B3V     | 6.57|-0.48|16070| 2.9| 2.7| 2.9| 92| 92| 92| 92| 0|3|   |Simbad|123.62354|-40.82587
124.42207|-39.10298| 40629|B3V     | 8.70|-0.60|19290| 3.9| 3.9| 4.1|127|153|132|137|14|3|   |Simbad|124.42207|-39.10298
126.46629|-42.15307| 41323|B3V     | 5.42|-0.51|16780| 2.0| 1.7| 1.5| 38| 39| 36| 38| 1|3|   |Simbad|126.46629|-42.15307
126.86195|-14.93521| 41463|B2V     | 6.66|-0.54|17550| 3.0| 2.5| 2.6| 88| 84| 80| 84| 4|3|R  |Simbad|126.86195|-14.93521
127.36483|-27.33215| 41640|B4V     | 6.68|-0.46|15630| 1.8| 1.6| 1.3| 35| 32| 31| 33| 2|3|   |Simbad|127.36483|-27.33215
127.45724|-57.28336| 41680|B4V     | 9.08|-0.48|16070| 2.2| 1.9| 1.9| 51| 51| 61| 54| 6|3|   |Simbad|127.45724|-57.28336
127.66346|-44.73732| 41737|B4IV    | 6.29|-0.49|16300| 3.6| 3.8| 4.1|124|144|135|134|10|3|   |Simbad|127.66346|-44.73732
127.90289|-45.78478| 41823|B3V     | 6.98|-0.60|19290| 3.2| 3.5| 3.5| 92|132|104|109|21|3|R  |Simbad|127.90289|-45.78478
128.03625|-36.10755| 41862|B3Ve    | 9.49|-0.56|18100| 6.4| 6.3| 6.0|273|261|227|254|24|3|   |Simbad|128.03625|-36.10755
128.33275|-38.37067| 41970|B2.5V   | 6.46|-0.54|17550| 2.7| 2.1| 2.5| 73| 63| 76| 71| 7|3|   |Simbad|128.33275|-38.37067
128.53994|-53.07151| 42038|B3V     | 6.79|-0.52|17030| 2.1| 1.9| 1.9| 42| 52| 57| 51| 8|3|R  |Simbad|128.53994|-53.07151
129.53914|-45.33841| 42357|B4V     | 8.69|-0.54|17550| 1.2| 1.1| 0.8|  4|  6|   |  5| 1|2|C  |Simbad|129.53914|-45.33841
130.22250|-48.22551| 42595|B2IV    | 6.93|-0.71|23280| 4.7| 5.0| 5.2|183|205|189|192|11|3|   |Simbad|130.22250|-48.22551
130.39543|-44.99191| 42653|B3V     | 6.69|-0.49|16300| 4.8| 4.3| 4.7|183|167|162|171|11|3|A  |Simbad|130.39543|-44.99191
130.53148|-48.24466| 42698|B3V     | 8.28|-0.54|17550| 3.9| 3.8| 4.0|134|146|128|136| 9|3|A  |Simbad|130.53148|-48.24466
131.04046|-47.11610| 42868|B3IV    | 7.21|-0.53|17290| 3.6| 3.3| 3.4|120|124|108|117| 8|3|   |Simbad|131.04046|-47.11610
131.16802|-41.27722| 42908|B1.5V   | 7.32|-0.76|25540| 2.5| 3.0| 3.7|   |115|120|118| 3|2|C  |Simbad|131.16802|-41.27722
131.70517|-34.62295| 43114|B4V     | 6.32|-0.47|15840| 4.0| 3.6| 3.5|145|134|112|130|17|3|R  |Simbad|131.70517|-34.62295
132.26401|-43.76121| 43285|B3V     | 7.30|-0.49|16300| 3.0| 2.9| 3.1| 94|101| 98| 98| 3|3|A  |Simbad|132.26401|-43.76121
132.79623|-41.66125| 43464|B1.5V   | 7.80|-0.73|24150| 3.4| 3.0| 3.2|110|114| 98|107| 9|3|C  |Simbad|132.79623|-41.66125
132.83080|-39.74512| 43473|B3V     | 7.69|-0.60|19290| 3.6| 3.4| 3.6|112|127|107|115|10|3|   |Simbad|132.83080|-39.74512
132.95848|-44.15093| 43520|B3V     | 6.36|-0.49|16300| 3.4| 3.5| 3.4|113|130|108|117|11|3|A  |Simbad|132.95848|-44.15093
133.50000|-52.61861| 43699|B4V     | 8.20|-0.48|16070| 5.4| 4.4| 5.4|214|176|195|195|19|3|   |Simbad|133.50000|-52.61861
135.17527|-38.41948| 44251|B6Vn    | 7.26|-0.48|16070| 5.2| 4.7| 5.2|207|189|186|194|11|3|R  |Simbad|135.17527|-38.41948
136.02408|-47.44145| 44509|B3IV/V  | 6.43|-0.53|17290| 1.9| 1.5| 1.4| 26| 29| 32| 29| 3|3|   |Simbad|136.02408|-47.44145
137.47010|-47.47620| 44996|B4V     | 6.82|-0.46|15630| 1.9| 1.9| 1.5| 42| 49| 44| 45| 4|3|A  |Simbad|137.47010|-47.47620
137.61902|-26.28688| 45044|B3/B4V  | 7.46|-0.58|18680| 3.9| 3.9| 4.1|133|152|130|138|12|3|   |Simbad|137.61902|-26.28688
137.78462|-58.33151| 45094|B4V     | 8.41|-0.53|17290| 2.5| 2.5| 3.0|   | 82| 94| 88| 8|3|   |Simbad|137.78462|-58.33151
141.36307|-57.36228| 46224|B4V     | 8.11|-0.51|16780| 3.0| 2.7| 3.2| 89| 94|102| 95| 7|3|R  |Simbad|141.36307|-57.36228
142.95945|-72.46837| 46760|B2V     | 7.72|-0.72|23710| 1.8| 1.3| 1.2| 17| 23|   | 20| 4|2|R  |Simbad|142.95945|-72.46837
144.08148|-61.13261| 47137|B3V     | 8.11|-0.47|15840| 4.5| 4.7| 4.3|168|190|143|167|24|3|   |Simbad|144.08148|-61.13261
147.18536|-02.71360| 48128|B2V     | 8.64|-0.63|20260| 3.2| 3.0| 3.5| 88|109|103|100|11|3|   |Simbad|147.18536|-02.71360
148.25039|-55.37321| 48469|B1IV    | 6.49|-0.84|29860| 2.2| 1.8| 1.7| 58| 61| 53| 57| 4|3|R  |Simbad|148.25039|-55.37321
149.24920|-69.10180| 48782|B3V     | 6.18|-0.53|17290| 2.9| 2.7| 3.0| 84| 91| 92| 89| 5|3|   |Simbad|149.24920|-69.10180
149.42749|-48.41408| 48835|B3V     | 6.05|-0.59|18980| 4.1| 3.8| 4.4|141|149|147|146| 4|3|R  |Simbad|149.42749|-48.41408
150.63601|-48.86206| 49201|B2V     | 7.70|-0.72|23710| 3.7| 3.7| 3.6|126|145|113|128|16|3|   |Simbad|150.63601|-48.86206
153.33825|-61.65883| 50067|B2V     | 6.41|-0.60|19290| 1.5| 1.1| 0.8|  5|  3|   |  4| 1|2|   |Simbad|153.33825|-61.65883
153.48872|-79.00405| 50126|B2/B3IV | 7.68|-0.60|19290| 1.6| 1.2| 1.1|  4|   |  6|  6| 1|2|   |Simbad|153.48872|-79.00405
153.52544|-54.99371| 50135|B4V     | 7.48|-0.52|17030| 2.4| 2.0| 1.9| 61| 58| 56| 58| 2|3|C  |Simbad|153.52544|-54.99371
159.98272|-56.27784| 52202|B4V     | 8.00|-0.50|16540| 4.4| 4.2| 4.4|164|163|146|158|10|3|   |Simbad|159.98272|-56.27784
160.81392|-60.20118| 52444|O9V     | 8.36|-0.91|34550|    |    |    |   |   |   |   |  |0|   |Simbad|160.81392|-60.20118
161.83601|-65.91773| 52766|B4V     | 7.50|-0.50|16540| 1.9| 1.8| 1.8|   | 46| 53| 50| 5|2|   |Simbad|161.83601|-65.91773
162.17507|-67.30519| 52868|B3V     | 7.81|-0.58|18680| 4.1| 3.8| 4.2|140|147|136|141| 6|3|   |Simbad|162.17507|-67.30519
162.55416|-62.63572| 52977|B3V     | 7.20|-0.50|16540| 4.3| 4.4| 4.7|157|173|162|164| 8|3|   |Simbad|162.55416|-62.63572
162.70732|-52.47138| 53018|B4V     | 7.80|-0.50|16540| 1.4| 1.1| 0.7| 13|  6|   | 10| 5|3|   |Simbad|162.70732|-52.47138
162.83753|-66.81488| 53057|B4V     | 7.47|-0.50|16540| 1.5| 1.4| 1.0| 16|   | 13| 14| 2|2|   |Simbad|162.83753|-66.81488
164.77169|-54.88756| 53686|O8/O9   | 8.57|-0.91|34550|    |    |    |   |   |   |   |  |0|   |Simbad|164.77169|-54.88756
166.23125|-61.05161| 54175|O9V     | 7.63|-0.90|33820|    |    |    |   |   |   |   |  |0|   |Simbad|166.23125|-61.05161
168.72764|-59.17488| 54930|B0.5IVn | 8.81|-0.89|33110|    | 7.6|    |   |326|   |326|  |1|   |Simbad|168.72764|-59.17488
169.04880|-03.47197| 55051|B1V     | 7.39|-0.75|25060| 3.5| 3.4| 3.7|120|135|120|125| 9|3|   |Simbad|169.04880|-03.47197
169.14114|-62.11550| 55078|O9V     |     |-0.72|23710| 2.3|    | 1.6| 48|   | 36| 42| 8|2|   |Simbad|169.14114|-62.11550
171.96281|-58.68048| 55938|B3V     | 7.65|-0.55|17820| 2.6| 2.4| 2.8| 63| 77| 85| 75|11|3|   |Simbad|171.96281|-58.68048
172.06795|-60.04108| 55977|B3V     |10.60|-0.62|19930| 6.8| 7.3|    |293|303|   |298| 7|2|   |Simbad|172.06795|-60.04108
177.95404|-64.59566| 57848|B4V     | 7.19|-0.48|16070| 1.4| 1.4| 1.1| 16| 22| 21| 20| 4|3|   |Simbad|177.95404|-64.59566
178.84027|-63.70355| 58128|B2Ve    | 7.98|-0.57|18380| 5.6| 5.4| 5.4|228|222|198|216|16|3|   |Simbad|178.84027|-63.70355
179.41670|-62.44875| 58326|B3V     | 5.55|-0.56|18100| 3.8| 3.7| 4.4|126|144|145|138|10|3|   |Simbad|179.41670|-62.44875
182.43576|-62.58184| 59288|O9V     | 8.18|-0.91|34550|    |    |    |   |   |   |   |  |0|   |Simbad|182.43576|-62.58184
184.03085|-64.45428| 59830|B3V     | 8.35|-0.57|18380| 2.5| 2.2| 2.2| 58| 67| 66| 64| 5|3|C  |Simbad|184.03085|-64.45428
185.85438|-53.64698| 60429|B0O9V   | 8.71|-0.84|29860| 2.8| 2.5| 2.8| 94| 95| 91| 94| 2|3|   |Simbad|185.85438|-53.64698
191.59464|-56.48882| 62327|B3V     | 4.61|-0.51|16780| 1.7| 1.5| 1.2| 22| 26| 20| 22| 3|3|A  |Simbad|191.59464|-56.48882
195.23868|-57.50497| 63517|B2V     | 9.88|-0.72|23710| 3.9| 3.6| 4.1|138|144|136|139| 4|3|   |Simbad|195.23868|-57.50497
198.96382|-63.88425| 64716|B1/B2V  | 8.81|-0.75|25060| 5.1| 5.5| 6.0|214|229|234|225|11|3|A  |Simbad|198.96382|-63.88425
206.82998|-02.44351| 67279|B2V     | 7.82|-0.66|21320| 2.8| 2.5| 3.2| 69| 84| 94| 82|13|3|   |Simbad|206.82998|-02.44351
208.79182|-68.88205| 67969|B3V     | 8.25|-0.60|19290| 3.5| 3.7| 3.7|106|140|113|120|18|3|   |Simbad|208.79182|-68.88205
209.19994|-46.38601| 68124|B2/B3IV | 6.93|-0.58|18680| 3.9| 3.9| 4.4|130|151|143|142|11|3|   |Simbad|209.19994|-46.38601
211.40630|-63.15529| 68829|B3V     | 8.74|-0.50|16540| 0.9| 0.7| 0.7|  0|   |   |  0|  |1|   |Simbad|211.40630|-63.15529
211.51153|-41.17963| 68862|B2V     | 4.34|-0.63|20260| 2.0| 1.4| 1.2| 17| 23|  9| 16| 7|3|A  |Simbad|211.51153|-41.17963
211.87003|-57.12838| 68992|B5IV/V  | 9.42|-0.51|16780| 2.7| 2.6| 2.6| 76| 87| 81| 81| 6|3|   |Simbad|211.87003|-57.12838
213.73672|-61.23844| 69617|B2V     | 9.55|-0.75|25060| 2.8| 2.7| 2.7| 80|100| 82| 87|11|3|   |Simbad|213.73672|-61.23844
213.79906|-64.74039| 69640|B1V:    | 9.97|-0.78|26530| 2.9| 2.7| 3.3| 88|102|105| 98| 9|3|   |Simbad|213.79906|-64.74039
216.23686|-54.55753| 70477|B4V     | 8.60|-0.54|17550| 3.9| 3.0| 3.9|137|108|124|123|14|3|   |Simbad|216.23686|-54.55753
216.34196|-54.58342| 70506|B1V     | 8.98|-0.77|26030| 1.8| 1.3| 1.1| 20| 22|   | 21| 1|2|   |Simbad|216.34196|-54.58342
219.87017|-51.15800| 71666|B3IV    | 9.29|-0.53|17290| 3.0| 2.5| 3.0| 88| 81| 92| 87| 5|3|   |Simbad|219.87017|-51.15800
220.18414|-63.57908| 71763|B4V     |10.11|-0.54|17550| 3.7| 3.6| 3.8|125|137|119|127| 9|3|   |Simbad|220.18414|-63.57908
225.31340|-67.98330| 73494|B4V     | 6.99|-0.54|17550| 1.2| 1.0| 0.7|  3|  3|   |  3| 1|2|   |Simbad|225.31340|-67.98330
225.74698|-32.64329| 73624|B3V     | 5.43|-0.54|17550| 1.6| 1.3| 0.8| 15| 19|   | 17| 3|2|   |Simbad|225.74698|-32.64329
226.51006|-48.88339| 73881|B2/B3V  | 6.47|-0.57|18380| 3.9| 3.9| 4.2|132|152|135|140|10|3|   |Simbad|226.51006|-48.88339
227.18846|-61.63377| 74110|B3V     | 6.82|-0.53|17290| 1.8| 1.4| 1.1| 22| 24| 14| 20| 5|3|   |Simbad|227.18846|-61.63377
229.24960|-61.12060| 74784|B3V     | 8.00|-0.54|22870| 5.5| 5.7| 6.0|227|238|231|232| 6|3|C  |Simbad|229.24960|-61.12060
230.16896|-67.48153| 75091|B3V     | 6.32|-0.54|17550| 3.2| 3.1| 3.4| 97|111|106|105| 7|3|   |Simbad|230.16896|-67.48153
230.78896|-36.85849| 75304|B4V     | 4.52|-0.51|16780| 3.9|    | 4.3|137|   |145|141| 6|2|A  |Simbad|230.78896|-36.85849
232.70493|-71.65413| 75959|B3V     | 6.38|-0.60|19290| 1.3| 1.1| 0.9|   |  8|   |  8|  |1|R  |Simbad|232.70493|-71.65413
233.23009|-16.85285| 76126|B3V     | 5.49|-0.66|21320| 4.8|    | 5.8|189|   |216|203|19|2|   |Simbad|233.23009|-16.85285
238.48277|-23.97810| 77859|B2V     | 5.40|-0.56|18100| 5.8| 5.8| 6.5|238|238|248|241| 6|3|A  |Simbad|238.48277|-23.97810
241.70178|-20.66919| 78933|B1V     | 3.95|-0.78|26530| 2.9| 2.7| 3.1| 88|102| 96| 95| 7|3|A  |Simbad|241.70178|-20.66919
246.35118|-23.46022| 80461|B3/B4V  | 6.78|-0.57|18380| 3.4| 3.1| 3.7|102|114|115|111| 7|3|A  |Simbad|246.35118|-23.46022
247.55198|-25.11522| 80815|B3V     | 4.78|-0.61|19600| 4.5| 4.4| 4.8|168|174|165|169| 4|3|A  |Simbad|247.55198|-25.11522
248.83001|-43.65223| 81214|B3V     | 8.35|-0.64|20600| 2.9| 2.4| 2.8| 74| 78| 81| 78| 3|3|   |Simbad|248.83001|-43.65223
248.97064|-28.21602| 81266|B0.2V   | 2.81|-0.84|29860| 1.1| 0.7| 0.8|  4|   |  1|  3| 2|2|A  |Simbad|248.97064|-28.21602
251.17747|-40.83967| 81972|B3V     | 5.64|-0.55|17820| 4.5| 4.4| 4.7|165|177|159|167| 9|3|A  |Simbad|251.17747|-40.83967
251.36552|-60.56358| 82034|B3V     | 7.53|-0.60|19290| 2.0| 2.0| 1.9|   | 57| 51| 50| 9|2|   |Simbad|251.36552|-60.56358
252.10273|-31.20367| 82254|B4V     | 6.81|-0.44|15200| 3.5| 4.0| 3.9|123|153|129|135|16|3|   |Simbad|252.10273|-31.20367
255.99813|-51.08261| 83506|B2V     | 8.83|-0.61|19600| 4.9| 5.1| 5.3|190|208|190|196|10|3|   |Simbad|255.99813|-51.08261
256.00516|-51.08363| 83509|B2V     | 8.32|-0.65|20960| 4.1| 3.9| 4.6|141|151|156|149| 8|3|   |Simbad|256.00516|-51.08363
256.38441|-00.89207| 83635|B1V     | 5.64|-0.78|26530| 3.2| 3.1| 3.7|108|122|121|117| 8|3|R  |Simbad|256.38441|-00.89207
257.08752|-33.86538| 83861|B2V     | 8.73|-0.78|26530| 3.3| 3.2| 3.7|111|124|123|119| 7|3|   |Simbad|257.08752|-33.86538
258.94046|-33.67364| 84435|B3V     | 8.68|-0.53|17290| 2.7| 2.3| 2.6| 75| 69| 81| 75| 6|3|   |Simbad|258.94046|-33.67364
262.74730|-11.18659| 85720|B0V     |10.31|-0.88|32420| 1.5| 1.1| 1.2|   | 15| 15| 15| 0|3|   |Simbad|262.74730|-11.18659
264.66932|+04.33605| 86349|B1V     | 9.04|-0.74|24600| 3.3| 3.1| 3.7|106|121|118|115| 8|3|   |Simbad|264.66932|+04.33605
265.18064|-32.15567| 86508|B4V     | 7.24|-0.53|17290| 3.3| 3.3| 3.8|102|121|122|115|11|3|C  |Simbad|265.18064|-32.15567
266.52284|-36.65903| 86951|B3V     | 8.45|-0.57|18380| 3.6| 3.5| 4.1|118|134|131|127| 9|3|   |Simbad|266.52284|-36.65903
266.53052|+05.53020| 86954|B4      | 6.84|-0.55|17820| 2.2| 1.7| 1.6| 42| 40| 41| 41| 1|3|C  |Simbad|266.53052|+05.53020
267.28329|-36.52328| 87218|B3V     | 8.59|-0.49|16300| 4.1| 4.1| 4.6|145|159|158|154| 8|3|   |Simbad|267.28329|-36.52328
268.18968|-31.63546| 87508|B2/B3V  | 8.59|-0.56|18100| 3.6| 3.5| 3.9|114|130|122|122| 8|3|   |Simbad|268.18968|-31.63546
270.18166|-13.78021| 88201|B3V     | 8.07|-0.60|19290| 3.7| 3.6| 3.9|118|139|120|126|12|3|R  |Simbad|270.18166|-13.78021
272.11980|-16.41666| 88857|B3V     | 7.67|-0.53|17290| 4.2| 4.4| 3.9|152|173|125|150|24|3|   |Simbad|272.11980|-16.41666
274.09251|+10.81481| 89551|B2V     | 7.57|-0.72|23710| 1.9| 1.3| 1.3| 21| 20| 15| 19| 3|3|   |Simbad|274.09251|+10.81481
275.17578|-59.83988| 89902|B2V     | 6.97|-0.72|23710| 1.9| 1.4| 1.0| 17| 27|   | 22| 7|2|R  |Simbad|275.17578|-59.83988
277.52133|+04.06535| 90676|B2V     | 6.69|-0.58|18680| 1.4| 1.0| 0.8|  4|   |  2|  3| 1|2|   |Simbad|277.52133|+04.06535
278.56602|-04.81357| 91038|B1V     | 8.70|-0.78|26530| 1.7| 1.2| 1.1| 12| 18|   | 15| 4|2|   |Simbad|278.56602|-04.81357
281.08066|-35.64199| 91918|B2.5V   | 4.84|-0.58|18680| 1.9| 1.4| 1.2| 22| 22|   | 22| 0|2|   |Simbad|281.08066|-35.64199
282.42697|+15.93455| 92393|B3V     | 6.67|-0.59|18980| 1.6| 1.4| 1.2|   | 21| 12| 16| 6|2|   |Simbad|282.42697|+15.93455
283.94445|+00.26516| 92904|B2V     | 7.35|-0.66|21320| 2.8| 2.6| 2.9| 71| 88| 85| 81| 9|3|   |Simbad|283.94445|+00.26516
284.07772|+19.84772| 92957|B3V     | 8.03|-0.57|18380| 4.3| 4.5| 4.8|155|180|167|167|12|3|   |Simbad|284.07772|+19.84772
287.06959|-19.29029| 93996|B2Ve    | 5.57|-0.61|19600| 3.2| 2.5| 3.0| 89| 80| 87| 86| 5|3|   |Simbad|287.06959|-19.29029
